Ronda,Fecha,Local,Resultado,Visitante,Anio
Round 9,22/10/1995,Zaragoza,1—2,Real Sociedad,1995-1996
Round 10,28/10/1995,Albacete,1—1,Real Madrid,1995-1996
Round 10,28/10/1995,Compostela,2—1,Barcelona,1995-1996
Round 10,28/10/1995,Sevilla,0—0,Deportivo de La Coruña,1995-1996
Round 10,29/10/1995,Atlético de Madrid,1—1,Mérida,1995-1996
Round 10,29/10/1995,Espanyol,2—2,Celta de Vigo,1995-1996
Round 10,29/10/1995,Sporting de Gijón,4—2,Valladolid,1995-1996
Round 10,29/10/1995,Racing de Santander,0—0,Zaragoza,1995-1996
Round 10,29/10/1995,Real Sociedad,2—1,Rayo Vallecano,1995-1996
Round 10,29/10/1995,Salamanca,2—1,Betis,1995-1996
Round 10,29/10/1995,Tenerife,3—3,Oviedo,1995-1996
Round 10,29/10/1995,Valencia,3—1,Athletic Club,1995-1996
Round 11,4/11/1995,Real Madrid,3—2,Real Sociedad,1995-1996
Round 11,5/11/1995,Athletic Club,3—0,Celta de Vigo,1995-1996
Round 11,5/11/1995,Barcelona,4—1,Salamanca,1995-1996
Round 11,5/11/1995,Betis,3—3,Tenerife,1995-1996
Round 11,5/11/1995,Deportivo de La Coruña,0—1,Espanyol,1995-1996
Round 11,5/11/1995,Mérida,1—0,Sporting de Gijón,1995-1996
Round 11,5/11/1995,Rayo Vallecano,1—2,Racing de Santander,1995-1996
Round 11,5/11/1995,Oviedo,1—0,Albacete,1995-1996
Round 11,5/11/1995,Valencia,5—2,Compostela,1995-1996
Round 11,5/11/1995,Valladolid,3—3,Sevilla,1995-1996
Round 11,5/11/1995,Zaragoza,0—1,Atlético de Madrid,1995-1996
Round 12,11/11/1995,Celta de Vigo,0—0,Deportivo de La Coruña,1995-1996
Round 12,12/11/1995,Albacete,0—0,Betis,1995-1996
Round 12,12/11/1995,Atlético de Madrid,0—0,Rayo Vallecano,1995-1996
Round 12,12/11/1995,Compostela,2—1,Athletic Club,1995-1996
Round 12,12/11/1995,Espanyol,2—0,Valladolid,1995-1996
Round 12,12/11/1995,Sporting de Gijón,4—1,Zaragoza,1995-1996
Round 12,12/11/1995,Racing de Santander,2—0,Real Madrid,1995-1996
Round 12,12/11/1995,Real Sociedad,1—1,Oviedo,1995-1996
Round 12,12/11/1995,Salamanca,4—0,Valencia,1995-1996
Round 12,12/11/1995,Sevilla,3—0,Mérida,1995-1996
Round 12,12/11/1995,Tenerife,1—1,Barcelona,1995-1996
Round 13,18/11/1995,Barcelona,3—0,Albacete,1995-1996
Round 13,18/11/1995,Betis,3—1,Real Sociedad,1995-1996
Round 13,18/11/1995,Real Madrid,1—0,Atlético de Madrid,1995-1996
Round 13,18/11/1995,Zaragoza,0—1,Sevilla,1995-1996
Round 13,19/11/1995,Athletic Club,1—0,Deportivo de La Coruña,1995-1996
Round 13,19/11/1995,Compostela,0—0,Salamanca,1995-1996
Round 13,19/11/1995,Mérida,0—1,Espanyol,1995-1996
Round 13,19/11/1995,Rayo Vallecano,2—0,Sporting de Gijón,1995-1996
Round 13,19/11/1995,Oviedo,2—1,Racing de Santander,1995-1996
Round 13,19/11/1995,Valencia,2—2,Tenerife,1995-1996
Round 13,19/11/1995,Valladolid,1—1,Celta de Vigo,1995-1996
Round 14,25/11/1995,Real Sociedad,1—1,Barcelona,1995-1996
Round 14,26/11/1995,Albacete,1—3,Valencia,1995-1996
Round 14,26/11/1995,Atlético de Madrid,3—0,Oviedo,1995-1996
Round 14,26/11/1995,Celta de Vigo,2—0,Mérida,1995-1996
Round 14,26/11/1995,Deportivo de La Coruña,3—1,Valladolid,1995-1996
Round 14,26/11/1995,Espanyol,1—1,Zaragoza,1995-1996
Round 14,26/11/1995,Sporting de Gijón,0—0,Real Madrid,1995-1996
Round 14,26/11/1995,Racing de Santander,0—0,Betis,1995-1996
Round 14,26/11/1995,Salamanca,2—1,Athletic Club,1995-1996
Round 14,26/11/1995,Sevilla,1—0,Rayo Vallecano,1995-1996
Round 14,26/11/1995,Tenerife,1—1,Compostela,1995-1996
Round 15,2/12/1995,Barcelona,1—1,Racing de Santander,1995-1996
Round 15,2/12/1995,Rayo Vallecano,1—0,Espanyol,1995-1996
Round 15,2/12/1995,Real Madrid,4—1,Sevilla,1995-1996
Round 15,3/12/1995,Athletic Club,2—1,Valladolid,1995-1996
Round 15,3/12/1995,Betis,2—1,Atlético de Madrid,1995-1996
Round 15,3/12/1995,Compostela,3—1,Albacete,1995-1996
Round 15,3/12/1995,Mérida,0—2,Deportivo de La Coruña,1995-1996
Round 15,3/12/1995,Oviedo,1—0,Sporting de Gijón,1995-1996
Round 15,3/12/1995,Salamanca,1—2,Tenerife,1995-1996
Round 15,3/12/1995,Valencia,0—1,Real Sociedad,1995-1996
Round 15,3/12/1995,Zaragoza,0—0,Celta de Vigo,1995-1996
Round 16,9/12/1995,Atlético de Madrid,3—1,Barcelona,1995-1996
Round 16,9/12/1995,Racing de Santander,0—3,Valencia,1995-1996
Round 16,10/12/1995,Albacete,3—3,Salamanca,1995-1996
Round 16,10/12/1995,Celta de Vigo,2—0,Rayo Vallecano,1995-1996
Round 16,10/12/1995,Deportivo de La Coruña,2—3,Zaragoza,1995-1996
Round 16,10/12/1995,Espanyol,3—1,Real Madrid,1995-1996
Round 16,10/12/1995,Sporting de Gijón,2—3,Betis,1995-1996
Round 16,10/12/1995,Real Sociedad,0—1,Compostela,1995-1996
Round 16,10/12/1995,Sevilla,1—1,Oviedo,1995-1996
Round 16,10/12/1995,Tenerife,3—2,Athletic Club,1995-1996
Round 16,10/12/1995,Valladolid,1—1,Mérida,1995-1996
Round 17,16/12/1995,Barcelona,1—0,Sporting de Gijón,1995-1996
Round 17,16/12/1995,Betis,1—1,Sevilla,1995-1996
Round 17,17/12/1995,Athletic Club,1—1,Mérida,1995-1996
Round 17,17/12/1995,Compostela,2—0,Racing de Santander,1995-1996
Round 17,17/12/1995,Rayo Vallecano,0—6,Deportivo de La Coruña,1995-1996
Round 17,17/12/1995,Real Madrid,1—0,Celta de Vigo,1995-1996
Round 17,17/12/1995,Oviedo,1—2,Espanyol,1995-1996
Round 17,17/12/1995,Salamanca,3—3,Real Sociedad,1995-1996
Round 17,17/12/1995,Tenerife,1—3,Albacete,1995-1996
Round 17,17/12/1995,Valencia,0—1,Atlético de Madrid,1995-1996
Round 17,17/12/1995,Zaragoza,5—3,Valladolid,1995-1996
Round 18,20/12/1995,Albacete,2—0,Athletic Club,1995-1996
Round 18,20/12/1995,Atlético de Madrid,3—0,Compostela,1995-1996
Round 18,20/12/1995,Celta de Vigo,1—0,Oviedo,1995-1996
Round 18,20/12/1995,Espanyol,1—1,Betis,1995-1996
Round 18,20/12/1995,Sporting de Gijón,1—3,Valencia,1995-1996
Round 18,20/12/1995,Mérida,1—1,Zaragoza,1995-1996
Round 18,20/12/1995,Racing de Santander,2—1,Salamanca,1995-1996
Round 18,20/12/1995,Real Sociedad,0—1,Tenerife,1995-1996
Round 18,20/12/1995,Sevilla,1—0,Barcelona,1995-1996
Round 18,20/12/1995,Valladolid,1—1,Rayo Vallecano,1995-1996
Round 18,21/12/1995,Deportivo de La Coruña,3—0,Real Madrid,1995-1996
Round 19,3/1/1996,Albacete,3—5,Real Sociedad,1995-1996
Round 19,3/1/1996,Athletic Club,1—0,Zaragoza,1995-1996
Round 19,3/1/1996,Betis,0—3,Celta de Vigo,1995-1996
Round 19,3/1/1996,Compostela,1—0,Sporting de Gijón,1995-1996
Round 19,3/1/1996,Rayo Vallecano,4—1,Mérida,1995-1996
Round 19,3/1/1996,Real Madrid,4—1,Valladolid,1995-1996
Round 19,3/1/1996,Oviedo,0—2,Deportivo de La Coruña,1995-1996
Round 19,3/1/1996,Salamanca,1—3,Atlético de Madrid,1995-1996
Round 19,3/1/1996,Tenerife,2—0,Racing de Santander,1995-1996
Round 19,3/1/1996,Valencia,1—0,Sevilla,1995-1996
Round 19,4/1/1996,Barcelona,2—1,Espanyol,1995-1996
Round 20,6/1/1996,Athletic Club,0—0,Real Sociedad,1995-1996
Round 20,6/1/1996,Atlético de Madrid,3—1,Tenerife,1995-1996
Round 20,7/1/1996,Celta de Vigo,1—0,Barcelona,1995-1996
Round 20,7/1/1996,Deportivo de La Coruña,0—0,Betis,1995-1996
Round 20,7/1/1996,Espanyol,2—0,Valencia,1995-1996
Round 20,7/1/1996,Sporting de Gijón,3—2,Salamanca,1995-1996
Round 20,7/1/1996,Mérida,2—2,Real Madrid,1995-1996
Round 20,7/1/1996,Racing de Santander,5—5,Albacete,1995-1996
Round 20,7/1/1996,Sevilla,0—1,Compostela,1995-1996
Round 20,7/1/1996,Valladolid,2—2,Oviedo,1995-1996
Round 20,7/1/1996,Zaragoza,1—1,Rayo Vallecano,1995-1996
Round 21,13/01/1996,Albacete,1—1,Atlético de Madrid,1995-1996
Round 21,13/01/1996,Betis,3—0,Valladolid,1995-1996
Round 21,14/01/1996,Barcelona,1—1,Deportivo de La Coruña,1995-1996
Round 21,14/01/1996,Compostela,2—1,Espanyol,1995-1996
Round 21,14/01/1996,Real Sociedad,2—1,Racing de Santander,1995-1996
Round 21,14/01/1996,Rayo Vallecano,2—2,Athletic Club,1995-1996
Round 21,14/01/1996,Real Madrid,2—2,Zaragoza,1995-1996
Round 21,14/01/1996,Oviedo,0—0,Mérida,1995-1996
Round 21,14/01/1996,Salamanca,4—1,Sevilla,1995-1996
Round 21,14/01/1996,Tenerife,3—0,Sporting de Gijón,1995-1996
Round 21,14/01/1996,Valencia,3—0,Celta de Vigo,1995-1996
Round 22,20/01/1996,Valencia,2—1,Deportivo de La Coruña,1995-1996
Round 22,21/01/1996,Albacete,1—3,Sporting de Gijón,1995-1996
Round 22,21/01/1996,Barcelona,1—0,Valladolid,1995-1996
Round 22,21/01/1996,Betis,0—1,Mérida,1995-1996
Round 22,21/01/1996,Compostela,1—1,Celta de Vigo,1995-1996
Round 22,21/01/1996,Racing de Santander,1—1,Athletic Club,1995-1996
Round 22,21/01/1996,Real Sociedad,1—0,Atlético de Madrid,1995-1996
Round 22,21/01/1996,Real Madrid,1—2,Rayo Vallecano,1995-1996
Round 22,21/01/1996,Oviedo,1—1,Zaragoza,1995-1996
Round 22,21/01/1996,Salamanca,2—2,Espanyol,1995-1996
Round 22,21/01/1996,Tenerife,4—2,Sevilla,1995-1996
Round 23,24/01/1996,Athletic Club,0—5,Real Madrid,1995-1996
Round 23,24/01/1996,Atlético de Madrid,2—0,Racing de Santander,1995-1996
Round 23,24/01/1996,Celta de Vigo,2—1,Salamanca,1995-1996
Round 23,24/01/1996,Deportivo de La Coruña,2—0,Compostela,1995-1996
Round 23,24/01/1996,Espanyol,2—1,Tenerife,1995-1996
Round 23,24/01/1996,Sporting de Gijón,1—1,Real Sociedad,1995-1996
Round 23,24/01/1996,Rayo Vallecano,1—2,Oviedo,1995-1996
Round 23,24/01/1996,Sevilla,1—1,Albacete,1995-1996
Round 23,24/01/1996,Valladolid,2—5,Valencia,1995-1996
Round 23,24/01/1996,Zaragoza,1—2,Betis,1995-1996
Round 23,25/01/1996,Mérida,0—0,Barcelona,1995-1996
Round 24,27/01/1996,Salamanca,0—5,Deportivo de La Coruña,1995-1996
Round 24,28/01/1996,Albacete,0—0,Espanyol,1995-1996
Round 24,28/01/1996,Atlético de Madrid,4—1,Athletic Club,1995-1996
Round 24,28/01/1996,Barcelona,3—1,Zaragoza,1995-1996
Round 24,28/01/1996,Betis,0—0,Rayo Vallecano,1995-1996
Round 24,28/01/1996,Compostela,1—3,Valladolid,1995-1996
Round 24,28/01/1996,Racing de Santander,1—1,Sporting de Gijón,1995-1996
Round 24,28/01/1996,Real Sociedad,1—0,Sevilla,1995-1996
Round 24,28/01/1996,Oviedo,1—2,Real Madrid,1995-1996
Round 24,28/01/1996,Tenerife,1—0,Celta de Vigo,1995-1996
Round 24,28/01/1996,Valencia,4—1,Mérida,1995-1996
Round 25,3/2/1996,Sporting de Gijón,1—2,Atlético de Madrid,1995-1996
Round 25,3/2/1996,Zaragoza,4—1,Valencia,1995-1996
Round 25,4/2/1996,Athletic Club,0—1,Oviedo,1995-1996
Round 25,4/2/1996,Celta de Vigo,2—2,Albacete,1995-1996
Round 25,4/2/1996,Deportivo de La Coruña,1—1,Tenerife,1995-1996
Round 25,4/2/1996,Espanyol,0—0,Real Sociedad,1995-1996
Round 25,4/2/1996,Mérida,0—2,Compostela,1995-1996
Round 25,4/2/1996,Rayo Vallecano,1—1,Barcelona,1995-1996
Round 25,4/2/1996,Real Madrid,4—2,Betis,1995-1996
Round 25,4/2/1996,Sevilla,0—1,Racing de Santander,1995-1996
Round 25,4/2/1996,Valladolid,1—0,Salamanca,1995-1996
Round 26,10/2/1996,Atlético de Madrid,0—1,Sevilla,1995-1996
Round 26,10/2/1996,Barcelona,3—0,Real Madrid,1995-1996
Round 26,10/2/1996,Valencia,3—0,Rayo Vallecano,1995-1996
Round 26,11/2/1996,Albacete,1—0,Deportivo de La Coruña,1995-1996
Round 26,11/2/1996,Betis,2—1,Oviedo,1995-1996
Round 26,11/2/1996,Compostela,3—2,Zaragoza,1995-1996
Round 26,11/2/1996,Sporting de Gijón,1—2,Athletic Club,1995-1996
Round 26,11/2/1996,Racing de Santander,1—1,Espanyol,1995-1996
Round 26,11/2/1996,Real Sociedad,3—1,Celta de Vigo,1995-1996
Round 26,11/2/1996,Salamanca,2—2,Mérida,1995-1996
Round 26,11/2/1996,Tenerife,1—0,Valladolid,1995-1996
Round 27,17/02/1996,Real Madrid,0—0,Valencia,1995-1996
Round 27,17/02/1996,Zaragoza,1—1,Salamanca,1995-1996
Round 27,18/02/1996,Athletic Club,0—1,Betis,1995-1996
Round 27,18/02/1996,Celta de Vigo,0—0,Racing de Santander,1995-1996
Round 27,18/02/1996,Deportivo de La Coruña,1—1,Real Sociedad,1995-1996
Round 27,18/02/1996,Espanyol,0—2,Atlético de Madrid,1995-1996
Round 27,18/02/1996,Mérida,2—0,Tenerife,1995-1996
Round 27,18/02/1996,Rayo Vallecano,0—1,Compostela,1995-1996
Round 27,18/02/1996,Oviedo,1—2,Barcelona,1995-1996
Round 27,18/02/1996,Sevilla,2—0,Sporting de Gijón,1995-1996
Round 27,18/02/1996,Valladolid,3—0,Albacete,1995-1996
Round 28,24/02/1996,Racing de Santander,2—1,Deportivo de La Coruña,1995-1996
Round 28,25/02/1996,Albacete,2—0,Mérida,1995-1996
Round 28,25/02/1996,Atlético de Madrid,3—2,Celta de Vigo,1995-1996
Round 28,25/02/1996,Barcelona,1—0,Betis,1995-1996
Round 28,25/02/1996,Compostela,3—3,Real Madrid,1995-1996
Round 28,25/02/1996,Sporting de Gijón,2—3,Espanyol,1995-1996
Round 28,25/02/1996,Real Sociedad,1—0,Valladolid,1995-1996
Round 28,25/02/1996,Salamanca,1—2,Rayo Vallecano,1995-1996
Round 28,25/02/1996,Sevilla,1—1,Athletic Club,1995-1996
Round 28,25/02/1996,Tenerife,1—2,Zaragoza,1995-1996
Round 28,25/02/1996,Valencia,3—1,Oviedo,1995-1996
Round 29,2/3/1996,Athletic Club,0—0,Barcelona,1995-1996
Round 29,2/3/1996,Espanyol,0—1,Sevilla,1995-1996
Round 29,2/3/1996,Mérida,1—2,Real Sociedad,1995-1996
Round 29,2/3/1996,Real Madrid,5—0,Salamanca,1995-1996
Round 29,2/3/1996,Valladolid,3—1,Racing de Santander,1995-1996
Round 29,3/3/1996,Betis,3—0,Valencia,1995-1996
Round 29,3/3/1996,Celta de Vigo,0—0,Sporting de Gijón,1995-1996
Round 29,3/3/1996,Deportivo de La Coruña,2—2,Atlético de Madrid,1995-1996
Round 29,3/3/1996,Rayo Vallecano,2—4,Tenerife,1995-1996
Round 29,3/3/1996,Oviedo,3—1,Compostela,1995-1996
Round 29,3/3/1996,Zaragoza,3—1,Albacete,1995-1996
Round 30,9/3/1996,Valencia,4—1,Barcelona,1995-1996
Round 30,10/3/1996,Albacete,1—2,Rayo Vallecano,1995-1996
Round 30,10/3/1996,Atlético de Madrid,0—2,Valladolid,1995-1996
Round 30,10/3/1996,Compostela,1—2,Betis,1995-1996
Round 30,10/3/1996,Espanyol,3—0,Athletic Club,1995-1996
Round 30,10/3/1996,Sporting de Gijón,1—1,Deportivo de La Coruña,1995-1996
Round 30,10/3/1996,Racing de Santander,2—0,Mérida,1995-1996
Round 30,10/3/1996,Real Sociedad,3—1,Zaragoza,1995-1996
Round 30,10/3/1996,Salamanca,0—1,Oviedo,1995-1996
Round 30,10/3/1996,Sevilla,0—0,Celta de Vigo,1995-1996
Round 30,10/3/1996,Tenerife,3—0,Real Madrid,1995-1996
Round 31,16/03/1996,Barcelona,1—0,Compostela,1995-1996
Round 31,16/03/1996,Real Madrid,2—0,Albacete,1995-1996
Round 31,16/03/1996,Zaragoza,1—2,Racing de Santander,1995-1996
Round 31,17/03/1996,Athletic Club,0—1,Valencia,1995-1996
Round 31,17/03/1996,Betis,4—0,Salamanca,1995-1996
Round 31,17/03/1996,Celta de Vigo,4—2,Espanyol,1995-1996
Round 31,17/03/1996,Deportivo de La Coruña,3—2,Sevilla,1995-1996
Round 31,17/03/1996,Mérida,0—1,Atlético de Madrid,1995-1996
Round 31,17/03/1996,Rayo Vallecano,2—0,Real Sociedad,1995-1996
Round 31,17/03/1996,Oviedo,1—3,Tenerife,1995-1996
Round 31,17/03/1996,Valladolid,1—0,Sporting de Gijón,1995-1996
Round 32,23/03/1996,Sporting de Gijón,3—1,Mérida,1995-1996
Round 32,23/03/1996,Tenerife,1—2,Betis,1995-1996
Round 32,24/03/1996,Albacete,0—1,Oviedo,1995-1996
Round 32,24/03/1996,Atlético de Madrid,1—1,Zaragoza,1995-1996
Round 32,24/03/1996,Celta de Vigo,3—1,Athletic Club,1995-1996
Round 32,24/03/1996,Compostela,0—4,Valencia,1995-1996
Round 32,24/03/1996,Espanyol,0—0,Deportivo de La Coruña,1995-1996
Round 32,24/03/1996,Racing de Santander,1—2,Rayo Vallecano,1995-1996
Round 32,24/03/1996,Real Sociedad,1—1,Real Madrid,1995-1996
Round 32,24/03/1996,Salamanca,1—3,Barcelona,1995-1996
Round 32,24/03/1996,Sevilla,1—1,Valladolid,1995-1996
Round 33,27/03/1996,Athletic Club,0—0,Compostela,1995-1996
Round 33,27/03/1996,Barcelona,2—2,Tenerife,1995-1996
Round 33,27/03/1996,Betis,2—3,Albacete,1995-1996
Round 33,27/03/1996,Deportivo de La Coruña,2—1,Celta de Vigo,1995-1996
Round 33,27/03/1996,Mérida,3—2,Sevilla,1995-1996
Round 33,27/03/1996,Rayo Vallecano,0—3,Atlético de Madrid,1995-1996
Round 33,27/03/1996,Real Madrid,1—2,Racing de Santander,1995-1996
Round 33,27/03/1996,Valencia,2—0,Salamanca,1995-1996
Round 33,27/03/1996,Valladolid,0—0,Espanyol,1995-1996
Round 33,27/03/1996,Zaragoza,1—1,Sporting de Gijón,1995-1996
Round 33,28/03/1996,Oviedo,0—0,Real Sociedad,1995-1996
Round 34,30/03/1996,Albacete,0—1,Barcelona,1995-1996
Round 34,30/03/1996,Atlético de Madrid,1—2,Real Madrid,1995-1996
Round 34,31/03/1996,Celta de Vigo,1—1,Valladolid,1995-1996
Round 34,31/03/1996,Deportivo de La Coruña,0—0,Athletic Club,1995-1996
Round 34,31/03/1996,Espanyol,3—0,Mérida,1995-1996
Round 34,31/03/1996,Sporting de Gijón,3—1,Rayo Vallecano,1995-1996
Round 34,31/03/1996,Racing de Santander,0—0,Oviedo,1995-1996
Round 34,31/03/1996,Real Sociedad,1—1,Betis,1995-1996
Round 34,31/03/1996,Salamanca,1—0,Compostela,1995-1996
Round 34,31/03/1996,Sevilla,1—1,Zaragoza,1995-1996
Round 34,31/03/1996,Tenerife,2—1,Valencia,1995-1996
Round 35,6/4/1996,Barcelona,1—0,Real Sociedad,1995-1996
Round 35,6/4/1996,Oviedo,1—1,Atlético de Madrid,1995-1996
Round 35,6/4/1996,Zaragoza,1—1,Espanyol,1995-1996
Round 35,7/4/1996,Athletic Club,3—1,Salamanca,1995-1996
Round 35,7/4/1996,Betis,2—2,Racing de Santander,1995-1996
Round 35,7/4/1996,Compostela,0—2,Tenerife,1995-1996
Round 35,7/4/1996,Mérida,2—0,Celta de Vigo,1995-1996
Round 35,7/4/1996,Rayo Vallecano,0—0,Sevilla,1995-1996
Round 35,7/4/1996,Real Madrid,0—1,Sporting de Gijón,1995-1996
Round 35,7/4/1996,Valencia,1—0,Albacete,1995-1996
Round 35,7/4/1996,Valladolid,2—2,Deportivo de La Coruña,1995-1996
Round 36,13/04/1996,Racing de Santander,1—1,Barcelona,1995-1996
Round 36,13/04/1996,Sevilla,0—1,Real Madrid,1995-1996
Round 36,14/04/1996,Albacete,2—1,Compostela,1995-1996
Round 36,14/04/1996,Atlético de Madrid,1—1,Betis,1995-1996
Round 36,14/04/1996,Celta de Vigo,1—1,Zaragoza,1995-1996
Round 36,14/04/1996,Deportivo de La Coruña,2—1,Mérida,1995-1996
Round 36,14/04/1996,Espanyol,4—2,Rayo Vallecano,1995-1996
Round 36,14/04/1996,Sporting de Gijón,0—1,Oviedo,1995-1996
Round 36,14/04/1996,Real Sociedad,5—2,Valencia,1995-1996
Round 36,14/04/1996,Tenerife,4—0,Salamanca,1995-1996
Round 36,14/04/1996,Valladolid,1—1,Athletic Club,1995-1996
Round 37,20/04/1996,Barcelona,1—3,Atlético de Madrid,1995-1996
Round 37,20/04/1996,Valencia,2—1,Racing de Santander,1995-1996
Round 37,21/04/1996,Athletic Club,2—0,Tenerife,1995-1996
Round 37,21/04/1996,Betis,2—5,Sporting de Gijón,1995-1996
Round 37,21/04/1996,Compostela,2—0,Real Sociedad,1995-1996
Round 37,21/04/1996,Mérida,1—0,Valladolid,1995-1996
Round 37,21/04/1996,Rayo Vallecano,1—3,Celta de Vigo,1995-1996
Round 37,21/04/1996,Real Madrid,1—2,Espanyol,1995-1996
Round 37,21/04/1996,Oviedo,2—3,Sevilla,1995-1996
Round 37,21/04/1996,Salamanca,2—4,Albacete,1995-1996
Round 37,21/04/1996,Zaragoza,2—3,Deportivo de La Coruña,1995-1996
Round 38,27/04/1996,Atlético de Madrid,2—3,Valencia,1995-1996
Round 38,28/04/1996,Albacete,0—0,Tenerife,1995-1996
Round 38,28/04/1996,Celta de Vigo,1—1,Real Madrid,1995-1996
Round 38,28/04/1996,Deportivo de La Coruña,1—0,Rayo Vallecano,1995-1996
Round 38,28/04/1996,Sporting de Gijón,0—3,Barcelona,1995-1996
Round 38,28/04/1996,Mérida,1—0,Athletic Club,1995-1996
Round 38,28/04/1996,Racing de Santander,1—0,Compostela,1995-1996
Round 38,28/04/1996,Real Sociedad,1—0,Salamanca,1995-1996
Round 38,28/04/1996,Sevilla,1—0,Betis,1995-1996
Round 38,28/04/1996,Valladolid,0—0,Zaragoza,1995-1996
Round 38,8/5/1996,Espanyol,5—0,Oviedo,1995-1996
Round 39,4/5/1996,Compostela,1—3,Atlético de Madrid,1995-1996
Round 39,4/5/1996,Valencia,1—0,Sporting de Gijón,1995-1996
Round 39,5/5/1996,Athletic Club,2—2,Albacete,1995-1996
Round 39,5/5/1996,Barcelona,1—1,Sevilla,1995-1996
Round 39,5/5/1996,Betis,2—3,Espanyol,1995-1996
Round 39,5/5/1996,Rayo Vallecano,0—2,Valladolid,1995-1996
Round 39,5/5/1996,Real Madrid,1—0,Deportivo de La Coruña,1995-1996
Round 39,5/5/1996,Oviedo,1—1,Celta de Vigo,1995-1996
Round 39,5/5/1996,Salamanca,5—0,Racing de Santander,1995-1996
Round 39,5/5/1996,Tenerife,1—0,Real Sociedad,1995-1996
Round 39,5/5/1996,Zaragoza,3—1,Mérida,1995-1996
Round 40,12/5/1996,Atlético de Madrid,2—1,Salamanca,1995-1996
Round 40,12/5/1996,Celta de Vigo,2—0,Betis,1995-1996
Round 40,12/5/1996,Deportivo de La Coruña,0—4,Oviedo,1995-1996
Round 40,12/5/1996,Sporting de Gijón,2—1,Compostela,1995-1996
Round 40,12/5/1996,Mérida,0—1,Rayo Vallecano,1995-1996
Round 40,12/5/1996,Racing de Santander,1—2,Tenerife,1995-1996
Round 40,12/5/1996,Real Sociedad,8—1,Albacete,1995-1996
Round 40,12/5/1996,Sevilla,1—2,Valencia,1995-1996
Round 40,12/5/1996,Valladolid,0—3,Real Madrid,1995-1996
Round 40,12/5/1996,Zaragoza,1—0,Athletic Club,1995-1996
Round 40,15/05/1996,Espanyol,1—1,Barcelona,1995-1996
Round 41,18/05/1996,Tenerife,1—1,Atlético de Madrid,1995-1996
Round 41,19/05/1996,Albacete,2—2,Racing de Santander,1995-1996
Round 41,19/05/1996,Barcelona,3—2,Celta de Vigo,1995-1996
Round 41,19/05/1996,Betis,1—0,Deportivo de La Coruña,1995-1996
Round 41,19/05/1996,Compostela,0—0,Sevilla,1995-1996
Round 41,19/05/1996,Real Sociedad,2—2,Athletic Club,1995-1996
Round 41,19/05/1996,Rayo Vallecano,4—3,Zaragoza,1995-1996
Round 41,19/05/1996,Real Madrid,4—0,Mérida,1995-1996
Round 41,19/05/1996,Oviedo,3—8,Valladolid,1995-1996
Round 41,19/05/1996,Salamanca,3—0,Sporting de Gijón,1995-1996
Round 41,19/05/1996,Valencia,1—0,Espanyol,1995-1996
Round 42,25/05/1996,Athletic Club,3—1,Rayo Vallecano,1995-1996
Round 42,25/05/1996,Atlético de Madrid,2—0,Albacete,1995-1996
Round 42,25/05/1996,Celta de Vigo,1—1,Valencia,1995-1996
Round 42,25/05/1996,Espanyol,0—0,Compostela,1995-1996
Round 42,25/05/1996,Sporting de Gijón,0—2,Tenerife,1995-1996
Round 42,25/05/1996,Racing de Santander,2—3,Real Sociedad,1995-1996
Round 42,25/05/1996,Sevilla,3—1,Salamanca,1995-1996
Round 42,25/05/1996,Valladolid,3—1,Betis,1995-1996
Round 42,25/05/1996,Zaragoza,0—1,Real Madrid,1995-1996
Round 42,26/05/1996,Deportivo de La Coruña,2—2,Barcelona,1995-1996
Round 42,26/05/1996,Mérida,3—1,Oviedo,1995-1996
Round 1,31/08/1996,Deportivo de La Coruña,1—1,Real Madrid,1996-1997
Round 1,1/9/1996,Atlético de Madrid,2—0,Celta de Vigo,1996-1997
Round 1,1/9/1996,Betis,3—0,Athletic Club,1996-1997
Round 1,1/9/1996,Hércules,2—1,Extremadura,1996-1997
Round 1,1/9/1996,Racing de Santander,3—2,Valencia,1996-1997
Round 1,1/9/1996,Real Sociedad,1—0,Sevilla,1996-1997
Round 1,1/9/1996,Rayo Vallecano,1—2,Valladolid,1996-1997
Round 1,1/9/1996,Oviedo,2—4,Barcelona,1996-1997
Round 1,1/9/1996,Tenerife,6—0,Compostela,1996-1997
Round 1,1/9/1996,Zaragoza,2—2,Logroñés,1996-1997
Round 1,2/9/1996,Espanyol,2—3,Sporting de Gijón,1996-1997
Round 2,7/9/1996,Barcelona,2—1,Espanyol,1996-1997
Round 2,7/9/1996,Compostela,3—1,Atlético de Madrid,1996-1997
Round 2,7/9/1996,Logroñés,0—1,Tenerife,1996-1997
Round 2,7/9/1996,Valencia,0—1,Real Sociedad,1996-1997
Round 2,8/9/1996,Athletic Club,3—2,Rayo Vallecano,1996-1997
Round 2,8/9/1996,Celta de Vigo,1—1,Deportivo de La Coruña,1996-1997
Round 2,8/9/1996,Sporting de Gijón,0—1,Racing de Santander,1996-1997
Round 2,8/9/1996,Real Madrid,3—0,Hércules,1996-1997
Round 2,8/9/1996,Sevilla,1—2,Zaragoza,1996-1997
Round 2,8/9/1996,Valladolid,0—1,Oviedo,1996-1997
Round 2,9/9/1996,Extremadura,0—3,Betis,1996-1997
Round 3,14/09/1996,Zaragoza,1—1,Valencia,1996-1997
